?cls	?xref
<http://purl.obolibrary.org/obo/UBERON_0003283>	"EHDAA:2943"
<http://purl.obolibrary.org/obo/UBERON_0003283>	"VHOG:0000415"
<http://purl.obolibrary.org/obo/UBERON_0003283>	"MA:0001569"
<http://purl.obolibrary.org/obo/UBERON_0009973>	"NCIT:C106202"
<http://purl.obolibrary.org/obo/UBERON_0009973>	"FMA:15899"
<http://purl.obolibrary.org/obo/UBERON_0009973>	"SCTID:261187001"
<http://purl.obolibrary.org/obo/UBERON_0009973>	"MA:0003020"
<http://purl.obolibrary.org/obo/UBERON_0009973>	"EMAPA:37783"
<http://purl.obolibrary.org/obo/UBERON_0000949>	"MA:0000012"
<http://purl.obolibrary.org/obo/UBERON_0000949>	"GAID:439"
<http://purl.obolibrary.org/obo/UBERON_0000949>	"EFO:0002969"
<http://purl.obolibrary.org/obo/UBERON_0000949>	"TAO:0001158"
<http://purl.obolibrary.org/obo/UBERON_0000949>	"FMA:9668"
<http://purl.obolibrary.org/obo/UBERON_0000949>	"Wikipedia:Endocrine_system"
<http://purl.obolibrary.org/obo/UBERON_0000949>	"UMLS:C0014136"
<http://purl.obolibrary.org/obo/UBERON_0000949>	"FBbt:00005068"
<http://purl.obolibrary.org/obo/UBERON_0000949>	"NCIT:C12705"
<http://purl.obolibrary.org/obo/UBERON_0000949>	"AAO:0010279"
<http://purl.obolibrary.org/obo/UBERON_0000949>	"VHOG:0000098"
<http://purl.obolibrary.org/obo/UBERON_0000949>	"XAO:0000158"
<http://purl.obolibrary.org/obo/UBERON_0000949>	"MESH:D004703"
<http://purl.obolibrary.org/obo/UBERON_0000949>	"EMAPA:35306"
<http://purl.obolibrary.org/obo/UBERON_0000949>	"SCTID:278876000"
<http://purl.obolibrary.org/obo/UBERON_0000949>	"ZFA:0001158"
<http://purl.obolibrary.org/obo/UBERON_0000949>	"CALOHA:TS-1301"
<http://purl.obolibrary.org/obo/UBERON_0000949>	"EHDAA2:0002224"
<http://purl.obolibrary.org/obo/UBERON_0000949>	"EV:0100128"
<http://purl.obolibrary.org/obo/PR_P22646>	"UniProtKB:P22646"
<http://purl.obolibrary.org/obo/UBERON_0010045>	"EMAPA:16391"
<http://purl.obolibrary.org/obo/UBERON_0010045>	"EHDAA2:0000041"
<http://purl.obolibrary.org/obo/CL_0000000>	"CALOHA:TS-2035"
<http://purl.obolibrary.org/obo/CL_0000000>	"MESH:D002477"
<http://purl.obolibrary.org/obo/CL_0000000>	"XAO:0003012"
<http://purl.obolibrary.org/obo/CL_0000000>	"VHOG:0001533"
<http://purl.obolibrary.org/obo/CL_0000000>	"GO:0005623"
<http://purl.obolibrary.org/obo/CL_0000000>	"FBbt:00007002"
<http://purl.obolibrary.org/obo/CL_0000000>	"FMA:68646"
<http://purl.obolibrary.org/obo/CL_0000000>	"WBbt:0004017"
<http://purl.obolibrary.org/obo/CL_0000000>	"KUPO:0000002"
<http://purl.obolibrary.org/obo/UBERON_0003830>	"MA:0000561"
<http://purl.obolibrary.org/obo/UBERON_0002081>	"MA:0000073"
<http://purl.obolibrary.org/obo/UBERON_0002081>	"GAID:555"
<http://purl.obolibrary.org/obo/UBERON_0002081>	"SCTID:261405004"
<http://purl.obolibrary.org/obo/UBERON_0002081>	"EHDAA2:0000154"
<http://purl.obolibrary.org/obo/UBERON_0002081>	"VHOG:0000175"
<http://purl.obolibrary.org/obo/UBERON_0002081>	"MESH:D006325"
