?cls	?pred	?val	?synType
<http://purl.obolibrary.org/obo/PR_P22646>	<http://www.w3.org/2000/01/rdf-schema#label>	"T-cell surface glycoprotein CD3 epsilon chain (mouse)"	
<http://purl.obolibrary.org/obo/CL_0002032>	<http://www.w3.org/2000/01/rdf-schema#label>	"hematopoietic oligopotent progenitor cell"	
<http://purl.obolibrary.org/obo/GO_0005880>	<http://www.w3.org/2000/01/rdf-schema#label>	"nuclear microtubule"	
<http://purl.obolibrary.org/obo/GO_0048821>	<http://www.w3.org/2000/01/rdf-schema#label>	"erythrocyte development"	
<http://purl.obolibrary.org/obo/UBERON_0010045>	<http://www.w3.org/2000/01/rdf-schema#label>	"1st arch maxillary mesenchyme"	
<http://purl.obolibrary.org/obo/GO_1901509>	<http://www.w3.org/2000/01/rdf-schema#label>	"regulation of endothelial tube morphogenesis"	
<http://purl.obolibrary.org/obo/GO_2000181>	<http://www.w3.org/2000/01/rdf-schema#label>	"negative regulation of blood vessel morphogenesis"	
<http://purl.obolibrary.org/obo/CL_0000000>	<http://www.w3.org/2000/01/rdf-schema#label>	"cell"	
<http://purl.obolibrary.org/obo/UBERON_0003830>	<http://www.w3.org/2000/01/rdf-schema#label>	"thoracic segment muscle"	
<http://purl.obolibrary.org/obo/GO_0014912>	<http://www.w3.org/2000/01/rdf-schema#label>	"negative regulation of smooth muscle cell migration"	
<http://purl.obolibrary.org/obo/GO_1901682>	<http://www.w3.org/2000/01/rdf-schema#label>	"sulfur compound transmembrane transporter activity"	
<http://purl.obolibrary.org/obo/GO_0060431>	<http://www.w3.org/2000/01/rdf-schema#label>	"primary lung bud formation"	
<http://purl.obolibrary.org/obo/GO_0015144>	<http://www.w3.org/2000/01/rdf-schema#label>	"carbohydrate transmembrane transporter activity"	
<http://purl.obolibrary.org/obo/PATO_0002462>	<http://www.w3.org/2000/01/rdf-schema#label>	"collagenous"	
<http://purl.obolibrary.org/obo/GO_1903829>	<http://www.w3.org/2000/01/rdf-schema#label>	"positive regulation of protein localization"	
<http://purl.obolibrary.org/obo/UBERON_0002081>	<http://www.w3.org/2000/01/rdf-schema#label>	"cardiac atrium"	
<http://purl.obolibrary.org/obo/GO_1901383>	<http://www.w3.org/2000/01/rdf-schema#label>	"negative regulation of chorionic trophoblast cell proliferation"	
<http://purl.obolibrary.org/obo/GO_1905268>	<http://www.w3.org/2000/01/rdf-schema#label>	"negative regulation of chromatin organization"	
<http://purl.obolibrary.org/obo/GO_0035910>	<http://www.w3.org/2000/01/rdf-schema#label>	"ascending aorta morphogenesis"	
<http://purl.obolibrary.org/obo/UBERON_0003613>	<http://www.w3.org/2000/01/rdf-schema#label>	"cardiovascular system elastic tissue"	
<http://purl.obolibrary.org/obo/UBERON_0005946>	<http://www.w3.org/2000/01/rdf-schema#label>	"outflow tract of atrium"	
<http://purl.obolibrary.org/obo/UBERON_0003566>	<http://www.w3.org/2000/01/rdf-schema#label>	"head connective tissue"	
<http://purl.obolibrary.org/obo/UBERON_0000371>	<http://www.w3.org/2000/01/rdf-schema#label>	"syncytiotrophoblast"	
<http://purl.obolibrary.org/obo/UBERON_0001207>	<http://www.w3.org/2000/01/rdf-schema#label>	"mucosa of large intestine"	
<http://purl.obolibrary.org/obo/GO_2000376>	<http://www.w3.org/2000/01/rdf-schema#label>	"positive regulation of oxygen metabolic process"	
<http://purl.obolibrary.org/obo/GO_1905433>	<http://www.w3.org/2000/01/rdf-schema#label>	"negative regulation of retrograde trans-synaptic signaling by neuropeptide"	
<http://purl.obolibrary.org/obo/UBERON_0000072>	<http://www.w3.org/2000/01/rdf-schema#label>	"proximo-distal subdivision of respiratory tract"	
<http://purl.obolibrary.org/obo/CHEBI_24834>	<http://www.w3.org/2000/01/rdf-schema#label>	"inorganic anion"	
<http://purl.obolibrary.org/obo/GO_0023019>	<http://www.w3.org/2000/01/rdf-schema#label>	"signal transduction involved in regulation of gene expression"	
<http://purl.obolibrary.org/obo/GO_0065009>	<http://www.w3.org/2000/01/rdf-schema#label>	"regulation of molecular function"	
<http://purl.obolibrary.org/obo/UBERON_0000993>	<http://www.w3.org/2000/01/rdf-schema#label>	"oviduct"	
<http://purl.obolibrary.org/obo/GO_0019228>	<http://www.w3.org/2000/01/rdf-schema#label>	"neuronal action potential"	
<http://purl.obolibrary.org/obo/UBERON_0006925>	<http://www.w3.org/2000/01/rdf-schema#label>	"digestive system gland"	
<http://purl.obolibrary.org/obo/GO_0110058>	<http://www.w3.org/2000/01/rdf-schema#label>	"positive regulation of blood vessel endothelial cell differentiation"	
<http://purl.obolibrary.org/obo/UBERON_0012466>	<http://www.w3.org/2000/01/rdf-schema#label>	"extraembryonic cavity"	
<http://purl.obolibrary.org/obo/UBERON_0007204>	<http://www.w3.org/2000/01/rdf-schema#label>	"brachiocephalic vasculature"	
<http://purl.obolibrary.org/obo/GO_0048368>	<http://www.w3.org/2000/01/rdf-schema#label>	"lateral mesoderm development"	
<http://purl.obolibrary.org/obo/PR_000001971>	<http://www.w3.org/2000/01/rdf-schema#label>	"vascular endothelial growth factor receptor"	
<http://purl.obolibrary.org/obo/GO_0031503>	<http://www.w3.org/2000/01/rdf-schema#label>	"protein-containing complex localization"	
