?prefix	?numberOfClasses
"OBI"	2
"IAO"	13
"CARO"	6
"BFO"	17
"AISM"	698
"SO"	4
"UBERON"	2321
"RO"	1
"NBO"	7
""	2
"PR"	76
"GO"	3984
"BSPO"	76
"NCBITaxon"	219
"CL"	531
"CHEBI"	435
"PATO"	148
